,SYMBOL, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
0,20MICRONS,EQ,06-OCT-2008,5,1,INE144J01027,5
1,21STCENMGM,EQ,03-MAY-1995,10,1,INE253B01015,10
2,3IINFOLTD,EQ,22-OCT-2021,10,1,INE748C01038,10
3,3MINDIA,EQ,13-AUG-2004,10,1,INE470A01017,10
4,3PLAND,EQ,19-JUL-1995,2,1,INE105C01023,2
5,4THDIM,BE,06-SEP-2022,10,1,INE382T01022,10
6,5PAISA,EQ,16-NOV-2017,10,1,INE618L01018,10
7,63MOONS,EQ,20-JUN-2005,2,1,INE111B01023,2
8,A2ZINFRA,EQ,23-DEC-2010,10,1,INE619I01012,10
9,AAATECH,EQ,28-NOV-2022,10,1,INE0D0U01013,10
10,AAKASH,EQ,29-SEP-2020,1,1,INE087Z01024,1
11,AAREYDRUGS,EQ,06-AUG-2021,10,1,INE198H01019,10
12,AARON,EQ,06-NOV-2020,10,1,INE721Z01010,10
13,AARTIDRUGS,EQ,19-SEP-2003,10,1,INE767A01016,10
14,AARTIIND,EQ,08-FEB-1995,5,1,INE769A01020,5
15,AARTISURF,EQ,14-JUL-2020,10,1,INE09EO01013,10
16,AARVEEDEN,EQ,21-NOV-2006,10,1,INE273D01019,10
17,AARVI,EQ,24-JUN-2020,10,1,INE754X01016,10
18,AAVAS,EQ,08-OCT-2018,10,1,INE216P01012,10
19,ABAN,EQ,29-MAR-1995,2,1,INE421A01028,2
20,ABB,EQ,08-FEB-1995,2,1,INE117A01022,2
21,ABBOTINDIA,EQ,08-JAN-2010,10,1,INE358A01014,10
22,ABCAPITAL,EQ,01-SEP-2017,10,1,INE674K01013,10
23,ABFRL,EQ,17-JUL-2013,10,1,INE647O01011,10
24,ABMINTLLTD,BE,09-SEP-2021,10,1,INE251C01025,10
25,ABSLAMC,EQ,11-OCT-2021,5,1,INE404A01024,5
26,ACC,EQ,20-NOV-1996,10,1,INE012A01025,10
27,ACCELYA,EQ,01-DEC-1999,10,1,INE793A01012,10
28,ACCURACY,EQ,11-DEC-2020,10,1,INE648Z01015,10
29,ACE,EQ,26-SEP-2006,2,1,INE731H01025,2
30,ACEINTEG,EQ,04-NOV-2022,10,1,INE543V01017,10
31,ACI,EQ,21-NOV-2022,2,1,INE128X01021,2
32,ADANIENT,EQ,04-JUN-1997,1,1,INE423A01024,1
33,ADANIGREEN,EQ,18-JUN-2018,10,1,INE364U01010,10
34,ADANIPORTS,EQ,27-NOV-2007,2,1,INE742F01042,2
35,ADANIPOWER,EQ,20-AUG-2009,10,1,INE814H01011,10
36,ADANITRANS,EQ,31-JUL-2015,10,1,INE931S01010,10
37,ADFFOODS,EQ,15-SEP-2010,10,1,INE982B01019,10
38,ADL,BE,01-OCT-2020,10,1,INE0CHO01012,10
39,ADORWELD,EQ,10-MAY-1995,10,1,INE045A01017,10
40,ADROITINFO,EQ,13-AUG-1997,10,1,INE737B01033,10
41,ADSL,EQ,25-JUL-2007,5,1,INE102I01027,5
42,ADVANIHOTR,EQ,25-JUN-2007,2,1,INE199C01026,2
43,ADVENZYMES,EQ,01-AUG-2016,2,1,INE837H01020,2
44,AEGISCHEM,EQ,03-APR-1996,1,1,INE208C01025,1
45,AETHER,EQ,03-JUN-2022,10,1,INE0BWX01014,10
46,AFFLE,EQ,08-AUG-2019,2,1,INE00WC01027,2
47,AGARIND,EQ,26-MAY-2014,10,1,INE204E01012,10
48,AGI,EQ,31-MAY-2000,2,1,INE415A01038,2
49,AGRITECH,EQ,28-JAN-2014,10,1,INE449G01018,10
50,AGROPHOS,EQ,08-MAR-2019,10,1,INE740V01019,10
51,AGSTRA,EQ,31-JAN-2022,10,1,INE583L01014,10
52,AHLADA,EQ,28-JAN-2021,10,1,INE00PV01013,10
53,AHLEAST,EQ,11-AUG-2010,10,1,INE926K01017,10
