,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,GAINS
0,1018GS2026,GS,121.02,121.02,121.0,121.0,121.0,121.02,801,96921.02,16-DEC-2022,3,IN0020010081,-0.00016526194017514478
1,20MICRONS,EQ,96.3,96.9,93.8,94.3,94.35,95.9,118717,11268356.1,16-DEC-2022,3040,INE144J01027,-0.020768431983385256
2,21STCENMGM,EQ,22.95,22.95,22.95,22.95,22.95,22.5,4014,92121.3,16-DEC-2022,29,INE253B01015,0.0
3,364D071223,TB,93.0,93.0,93.0,93.0,93.0,93.0,500,46500.0,16-DEC-2022,1,IN002022Z366,0.0
4,364D100823,TB,95.54,95.54,95.54,95.54,95.54,94.0,100000,9554000.0,16-DEC-2022,4,IN002022Z192,0.0
5,364D130723,TB,95.72,95.72,95.72,95.72,95.72,91.17,200,19144.0,16-DEC-2022,1,IN002022Z150,0.0
6,364D150623,TB,96.45,96.45,96.26,96.45,96.45,96.1,400,38556.0,16-DEC-2022,4,IN002022Z119,0.0
7,364D200723,TB,92.0,93.07,92.0,93.01,93.01,90.06,5000,464090.0,16-DEC-2022,5,IN002022Z168,0.010978260869565272
8,3IINFOLTD,EQ,43.15,43.7,42.3,42.5,42.45,43.15,516922,22189145.6,16-DEC-2022,3448,INE748C01038,-0.015063731170336004
9,3MINDIA,EQ,23400.0,23493.75,22950.0,23088.5,23065.0,23331.1,2759,63869328.45,16-DEC-2022,1571,INE470A01017,-0.013311965811965813
10,3PLAND,EQ,16.5,17.65,16.1,17.2,17.35,17.0,6287,107038.4,16-DEC-2022,118,INE105C01023,0.04242424242424238
11,4THDIM,BE,108.15,108.15,108.0,108.15,108.15,106.05,89524,9681177.75,16-DEC-2022,195,INE382T01022,0.0
12,585GS2030,GS,87.49,87.49,87.47,87.47,87.47,92.07,200,17494.1,16-DEC-2022,2,IN0020200294,-0.00022859755400612668
13,5PAISA,EQ,321.45,327.5,321.1,324.5,326.8,323.65,16839,5446115.5,16-DEC-2022,2147,INE618L01018,0.00948825633846636
14,601GS2028,GS,87.89,87.89,87.89,87.89,87.89,92.48,1,87.89,16-DEC-2022,1,IN0020020247,0.0
15,618GS2024,GS,98.5,98.5,98.5,98.5,98.5,99.08,100,9850.0,16-DEC-2022,1,IN0020190396,0.0
16,622GS2035,GS,93.12,93.12,93.1,93.1,93.1,98.0,100,9310.1,16-DEC-2022,2,IN0020200245,-0.00021477663230251538
17,63MOONS,EQ,153.2,157.2,150.0,151.45,150.1,156.65,112308,17281682.7,16-DEC-2022,5042,INE111B01023,-0.011422976501305485
18,654GS2032,GS,103.5,103.5,98.11,98.11,98.11,98.63,400,40322.0,16-DEC-2022,2,IN0020210244,-0.052077294685990344
19,667GS2050,GS,92.1,94.9,92.1,94.9,94.9,92.02,101,9304.9,16-DEC-2022,4,IN0020200252,0.030401737242128246
20,669GS2024,GS,102.55,103.0,102.55,103.0,103.0,102.5,1300,133855.0,16-DEC-2022,3,IN0020220052,0.004388103364212607
21,695GS2061,GS,96.5,96.5,95.01,95.01,95.01,98.0,82,7832.54,16-DEC-2022,5,IN0020210202,-0.015440414507771968
22,699GS2051,GS,96.99,96.99,92.55,95.94,95.75,96.25,3605,343506.3,16-DEC-2022,12,IN0020210194,-0.01082585833591089
23,710GS2029,GS,100.99,100.99,100.99,100.99,100.99,101.5,700,70693.0,16-DEC-2022,3,IN0020220011,0.0
24,726GS2032,GS,102.44,102.45,102.44,102.45,102.45,102.45,93500,9579064.0,16-DEC-2022,5,IN0020220060,9.76181179227364e-05
25,736GS2052,GS,102.0,102.5,102.0,102.5,102.5,103.13,35,3572.5,16-DEC-2022,3,IN0020220086,0.004901960784313725
26,738GS2027,GS,103.9,105.0,103.9,105.0,105.0,104.18,7301,759785.05,16-DEC-2022,14,IN0020220037,0.010587102983638057
27,754GS2036,GS,102.5,102.5,102.3,102.36,102.38,102.41,119735,12259400.34,16-DEC-2022,58,IN0020220029,-0.001365853658536591
28,757GS2033,GS,101.65,101.65,101.65,101.65,101.65,101.65,5000,508250.0,16-DEC-2022,1,IN0020190065,0.0
29,759GS2026,GS,104.2,104.2,104.2,104.2,104.2,104.1,500,52100.0,16-DEC-2022,1,IN0020150093,0.0
30,768GS2023,GS,100.65,100.65,100.65,100.65,100.65,100.44,300000,30195000.0,16-DEC-2022,3,IN0020150010,0.0
31,91D050123,TB,99.45,99.45,99.45,99.45,99.45,99.45,2000,198900.0,16-DEC-2022,1,IN002022X270,0.0
32,91D160223,TB,98.12,98.12,98.12,98.12,98.12,98.12,1100,107932.0,16-DEC-2022,2,IN002022X338,0.0
33,91D160323,TB,98.0,98.0,98.0,98.0,98.0,98.43,100,9800.0,16-DEC-2022,1,IN002022X379,0.0
34,91D230223,TB,98.6,98.6,98.6,98.6,98.6,98.85,100,9860.0,16-DEC-2022,1,IN002022X346,0.0
35,A2ZINFRA,EQ,11.65,11.9,11.1,11.3,11.3,11.3,1165394,13436013.7,16-DEC-2022,993,INE619I01012,-0.03004291845493559
36,AAATECH,EQ,57.95,59.9,57.2,58.8,58.5,58.3,8080,478344.65,16-DEC-2022,359,INE0D0U01013,0.01466781708369274
37,AAKASH,EQ,7.0,7.0,6.65,6.7,6.7,6.9,600936,4063254.65,16-DEC-2022,1312,INE087Z01024,-0.04285714285714283
38,AAREYDRUGS,EQ,38.35,38.4,37.2,37.45,37.55,38.35,12778,482525.1,16-DEC-2022,241,INE198H01019,-0.023468057366362413
39,AARON,EQ,165.5,167.0,163.1,164.1,163.3,166.5,3258,537075.4,16-DEC-2022,181,INE721Z01010,-0.008459214501510609
40,AARTIDRUGS,EQ,458.35,461.85,455.85,458.15,458.4,458.35,36651,16838661.75,16-DEC-2022,3547,INE767A01016,-0.0004363477691721293
41,AARTIIND,EQ,640.0,642.5,626.1,629.1,629.0,640.0,843679,534688796.9,16-DEC-2022,31644,INE769A01020,-0.017031249999999963
42,AARTISURF,EQ,680.0,680.0,666.0,668.3,671.8,675.35,7061,4738870.7,16-DEC-2022,797,INE09EO01013,-0.017205882352941244
43,AARVEEDEN,EQ,25.65,25.65,23.4,24.1,24.9,24.7,23649,573331.65,16-DEC-2022,434,INE273D01019,-0.060428849902534006
44,AARVI,EQ,187.4,187.4,182.65,183.55,183.55,183.45,15136,2788760.85,16-DEC-2022,521,INE754X01016,-0.02054429028815365
