,SYMBOL,NAME OF COMPANY
0,20MICRONS,20 Microns Limited
1,21STCENMGM,21st Century Management Services Limited
2,3IINFOLTD,3i Infotech Limited
3,3MINDIA,3M India Limited
4,3PLAND,3P Land Holdings Limited
5,4THDIM,Fourth Dimension Solutions Limited
6,5PAISA,5Paisa Capital Limited
7,63MOONS,63 moons technologies limited
8,A2ZINFRA,A2Z Infra Engineering Limited
9,AAATECH,AAA Technologies Limited
10,AAKASH,Aakash Exploration Services Limited
11,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
12,AARTIDRUGS,Aarti Drugs Limited
13,AARTIIND,Aarti Industries Limited
14,AARTISURF,Aarti Surfactants Limited
15,AARVEEDEN,Aarvee Denims & Exports Limited
16,AARVI,Aarvi Encon Limited
17,AAVAS,Aavas Financiers Limited
18,ABAN,Aban Offshore Limited
19,ABB,ABB India Limited
20,ABBOTINDIA,Abbott India Limited
21,ABCAPITAL,Aditya Birla Capital Limited
22,ABFRL,Aditya Birla Fashion and Retail Limited
23,ABMINTLLTD,ABM International Limited
24,ABSLAMC,Aditya Birla Sun Life AMC Limited
